247, 251, 252; 214, 230, 242; 185, 215, 234; 118, 159, 205; 0, 0, 0; 255, 255, 255
248, 246, 244; 227, 244, 244; 210, 233, 233; 196, 223, 223; 0, 0, 0; 0, 0, 0
227, 253, 253; 203, 241, 245; 166, 227, 233; 113, 201, 206; 0, 0, 0; 0, 0, 0
235, 243, 232; 210, 227, 200; 178, 200, 186; 134, 167, 137; 0, 0, 0; 255, 255, 255
255, 245, 228; 255, 227, 225; 255, 209, 209; 255, 148, 148; 0, 0, 0; 0, 0, 0
255, 242, 242; 250, 212, 212; 239, 159, 159; 244, 124, 124; 0, 0, 0; 255, 255, 255
238, 241, 255; 210, 218, 255; 170, 196, 255; 177, 178, 255; 0, 0, 0; 0, 0, 0
237, 228, 255; 215, 187, 245; 160, 118, 249; 101, 40, 247; 0, 0, 0; 255, 255, 255
255, 199, 199; 237, 158, 214; 198, 131, 215; 112, 113, 232; 0, 0, 0; 255, 255, 255
205, 245, 253; 160, 233, 255; 137, 207, 243; 0, 169, 255; 0, 0, 0; 0, 0, 0
243, 238, 234; 235, 227, 213; 176, 166, 149; 119, 107, 93; 0, 0, 0; 255, 255, 255
250, 246, 240; 244, 234, 224; 244, 223, 200; 0, 0, 0; 0, 0, 0; 255, 255, 255
255, 255, 255; 245, 245, 245; 230, 230, 230; 0, 0, 0; 0, 0, 0; 255, 255, 255
